pixelIdx,BP_ROW1_FOV1_wavelength_nm,BP_ROW1_FOV1_sampling_nm/pix,BP_ROW1_FOV2_wavelength_nm,BP_ROW1_FOV2_sampling_nm/pix,BP_ROW2_FOV1_wavelength_nm,BP_ROW2_FOV1_sampling_nm/pix,BP_ROW2_FOV2_wavelength_nm,BP_ROW2_FOV2_sampling_nm/pix,BP_ROW3_FOV1_wavelength_nm,BP_ROW3_FOV1_sampling_nm/pix,BP_ROW3_FOV2_wavelength_nm,BP_ROW3_FOV2_sampling_nm/pix,BP_ROW4_FOV1_wavelength_nm,BP_ROW4_FOV1_sampling_nm/pix,BP_ROW4_FOV2_wavelength_nm,BP_ROW4_FOV2_sampling_nm/pix,BP_ROW5_FOV1_wavelength_nm,BP_ROW5_FOV1_sampling_nm/pix,BP_ROW5_FOV2_wavelength_nm,BP_ROW5_FOV2_sampling_nm/pix,BP_ROW6_FOV1_wavelength_nm,BP_ROW6_FOV1_sampling_nm/pix,BP_ROW6_FOV2_wavelength_nm,BP_ROW6_FOV2_sampling_nm/pix,BP_ROW7_FOV1_wavelength_nm,BP_ROW7_FOV1_sampling_nm/pix,BP_ROW7_FOV2_wavelength_nm,BP_ROW7_FOV2_sampling_nm/pix,RP_ROW1_FOV1_wavelength_nm,RP_ROW1_FOV1_sampling_nm/pix,RP_ROW1_FOV2_wavelength_nm,RP_ROW1_FOV2_sampling_nm/pix,RP_ROW2_FOV1_wavelength_nm,RP_ROW2_FOV1_sampling_nm/pix,RP_ROW2_FOV2_wavelength_nm,RP_ROW2_FOV2_sampling_nm/pix,RP_ROW3_FOV1_wavelength_nm,RP_ROW3_FOV1_sampling_nm/pix,RP_ROW3_FOV2_wavelength_nm,RP_ROW3_FOV2_sampling_nm/pix,RP_ROW4_FOV1_wavelength_nm,RP_ROW4_FOV1_sampling_nm/pix,RP_ROW4_FOV2_wavelength_nm,RP_ROW4_FOV2_sampling_nm/pix,RP_ROW5_FOV1_wavelength_nm,RP_ROW5_FOV1_sampling_nm/pix,RP_ROW5_FOV2_wavelength_nm,RP_ROW5_FOV2_sampling_nm/pix,RP_ROW6_FOV1_wavelength_nm,RP_ROW6_FOV1_sampling_nm/pix,RP_ROW6_FOV2_wavelength_nm,RP_ROW6_FOV2_sampling_nm/pix,RP_ROW7_FOV1_wavelength_nm,RP_ROW7_FOV1_sampling_nm/pix,RP_ROW7_FOV2_wavelength_nm,RP_ROW7_FOV2_sampling_nm/pix
38,388.08,5.32,388.17,5.31,387.39,5.37,387.45,5.37,386.69,5.43,386.74,5.43,386.00,5.48,386.02,5.48,385.30,5.54,385.30,5.54,384.61,5.59,384.58,5.59,383.92,5.65,383.87,5.65,889.17,12.10,889.16,12.10,891.13,12.38,891.13,12.38,892.93,12.64,892.94,12.64,894.55,12.87,894.58,12.88,895.98,13.08,896.01,13.09,897.18,13.26,897.22,13.26,898.13,13.39,898.18,13.40
39,382.88,5.09,382.98,5.08,382.13,5.14,382.20,5.13,381.38,5.19,381.43,5.19,380.64,5.24,380.66,5.24,379.89,5.29,379.89,5.29,379.15,5.33,379.12,5.34,378.41,5.38,378.35,5.39,901.38,12.33,901.37,12.33,903.63,12.62,903.63,12.62,905.69,12.89,905.71,12.89,907.56,13.13,907.58,13.13,909.19,13.34,909.23,13.35,910.57,13.52,910.61,13.53,911.66,13.67,911.72,13.67
40,377.90,4.87,378.00,4.87,377.10,4.92,377.18,4.91,376.31,4.96,376.36,4.96,375.52,5.01,375.54,5.01,374.72,5.05,374.72,5.05,373.93,5.10,373.91,5.10,373.15,5.14,373.09,5.14,913.82,12.55,913.81,12.55,916.36,12.85,916.37,12.85,918.70,13.13,918.72,13.13,920.81,13.38,920.84,13.38,922.66,13.60,922.70,13.61,924.22,13.78,924.28,13.79,925.46,13.93,925.53,13.94
41,373.13,4.67,373.24,4.67,372.29,4.71,372.37,4.71,371.45,4.75,371.51,4.75,370.62,4.79,370.64,4.79,369.78,4.83,369.78,4.83,368.95,4.87,368.92,4.87,368.12,4.91,368.06,4.91,926.49,12.78,926.48,12.78,929.33,13.09,929.34,13.09,931.95,13.37,931.97,13.37,934.32,13.63,934.35,13.63,936.39,13.85,936.44,13.86,938.13,14.04,938.20,14.05,939.53,14.19,939.60,14.20
42,368.56,4.48,368.67,4.48,367.68,4.52,367.76,4.52,366.80,4.56,366.85,4.55,365.92,4.59,365.95,4.59,365.05,4.63,365.05,4.63,364.19,4.67,364.15,4.67,363.32,4.70,363.26,4.70,939.37,13.00,939.37,13.00,942.53,13.31,942.54,13.31,945.44,13.60,945.46,13.61,948.07,13.87,948.10,13.87,950.36,14.10,950.42,14.10,952.30,14.29,952.37,14.30,953.85,14.45,953.93,14.46
43,364.16,4.31,364.28,4.30,363.25,4.34,363.33,4.34,362.33,4.37,362.39,4.37,361.43,4.41,361.45,4.41,360.52,4.44,360.52,4.44,359.62,4.47,359.59,4.47,358.72,4.50,358.66,4.50,952.48,13.21,952.47,13.21,955.95,13.53,955.96,13.54,959.16,13.83,959.18,13.84,962.05,14.10,962.09,14.11,964.59,14.34,964.64,14.35,966.72,14.54,966.80,14.55,968.42,14.70,968.52,14.71
44,359.94,4.14,360.06,4.14,358.99,4.17,359.08,4.17,358.05,4.20,358.11,4.20,357.11,4.23,357.14,4.23,356.17,4.26,356.17,4.26,355.24,4.29,355.21,4.29,354.32,4.32,354.25,4.32,965.80,13.42,965.79,13.42,969.60,13.75,969.61,13.75,973.11,14.06,973.13,14.06,976.27,14.33,976.32,14.34,979.04,14.58,979.11,14.58,981.38,14.78,981.47,14.79,983.25,14.94,983.35,14.95
45,355.88,3.98,356.00,3.98,354.90,4.01,354.99,4.01,353.93,4.04,353.99,4.04,352.96,4.07,352.99,4.07,352.00,4.09,351.99,4.09,351.04,4.12,351.00,4.12,350.09,4.14,350.02,4.15,979.32,13.63,979.31,13.63,983.46,13.97,983.47,13.97,987.28,14.28,987.30,14.28,990.72,14.56,990.77,14.56,993.74,14.81,993.81,14.81,996.28,15.02,996.37,15.02,998.31,15.18,998.42,15.19
46,351.97,3.84,352.09,3.83,350.96,3.86,351.06,3.86,349.96,3.89,350.03,3.89,348.97,3.91,349.00,3.91,347.98,3.94,347.98,3.94,347.00,3.96,346.97,3.96,346.02,3.98,345.95,3.98,993.05,13.83,993.04,13.83,997.53,14.17,997.54,14.17,1001.66,14.49,1001.69,14.49,1005.39,14.78,1005.44,14.78,1008.66,15.03,1008.73,15.04,1011.41,15.25,1011.51,15.25,1013.61,15.42,1013.73,15.43
47,348.20,3.70,348.33,3.70,347.17,3.72,347.27,3.72,346.15,3.74,346.22,3.74,345.13,3.77,345.17,3.76,344.12,3.79,344.12,3.79,343.12,3.81,343.08,3.81,342.12,3.83,342.05,3.83,1006.98,14.03,1006.96,14.02,1011.80,14.38,1011.81,14.38,1016.26,14.70,1016.29,14.70,1020.28,14.99,1020.34,15.00,1023.80,15.25,1023.88,15.26,1026.77,15.47,1026.88,15.48,1029.14,15.64,1029.27,15.65
